ts_code,ann_date,end_date,audit_result,audit_fees,audit_agency,audit_sign
600030.SH,20250327,20241231,标准无保留意见,2000000.0,毕马威华振会计师事务所,"王国蓓,程海良"
600030.SH,20240327,20231231,标准无保留意见,2020000.0,毕马威华振会计师事务所,"王国蓓,程海良"
600030.SH,20230331,20221231,标准无保留意见,2020000.0,普华永道中天,"韩丹,逯一斌"
600030.SH,20220329,20211231,标准无保留意见,2020000.0,普华永道中天会计师事务所,"姜昆,逯一斌"
600030.SH,20210319,20201231,标准无保留意见,2020000.0,普华永道中天会计师事务所,"姜昆,逯一斌"
600030.SH,20200320,20191231,标准无保留意见,1836200.0,普华永道中天会计师事务所,"韩丹,张薇"
600030.SH,20190322,20181231,标准无保留意见,1615100.0,普华永道中天会计师事务所,"韩丹,刘微"
600030.SH,20180323,20171231,标准无保留意见,1502400.0,普华永道中天会计师事务所,"姜昆,马健"
600030.SH,20170323,20161231,标准无保留意见,,普华永道中天会计师事务所,"姜昆,王玮"
600030.SH,20160324,20151231,标准无保留意见,,普华永道中天会计师事务所,"姜昆,王玮"
600030.SH,20150324,20141231,标准无保留意见,,安永华明会计师事务所,"黄悦栋,陈珊"
600030.SH,20140328,20131231,标准无保留意见,,安永华明会计师事务所,"李慧民,甘蕊萍"
600030.SH,20130328,20121231,标准无保留意见,,安永华明会计师事务所,"李慧民,西志颖"
600030.SH,20120330,20111231,标准无保留意见,,安永华明会计师事务所,"梁成杰,陈珊"
600030.SH,20110409,20101231,标准无保留意见,,安永华明会计师事务所,"张小东,陈珊"
600030.SH,20100331,20091231,标准无保留意见,,安永华明会计师事务所,"张小东,陈珊"
600030.SH,20090430,20081231,标准无保留意见,,安永华明会计师事务所,"张小东,陈珊"
600030.SH,20080317,20071231,标准无保留意见,,安永华明会计师事务所,"张小东,陈珊"
600030.SH,20070316,20061231,带强调事项段的无保留意见,,北京天华中兴会计师事务所,"唐金超,游宁"
600030.SH,20060329,20051231,带强调事项段的无保留意见,,北京天华会计师事务所,"唐金超,黄薇"
600030.SH,20050420,20041231,标准无保留意见,,北京天华会计师事务所,
600030.SH,20040826,20040630,标准无保留意见,,北京天华会计师事务所,
600030.SH,20040329,20031231,标准无保留意见,,北京天华会计师事务所,
600030.SH,20030415,20021231,标准无保留意见,,北京天华会计师事务所,
