ts_code,name,industry,close,turnover_rate,to5,to20,ret20_pct,ret60_pct,entry,stop_loss,tp1,tp2,rr_tp1,score,as_of_date
001359.SZ,平安电工,矿物制品,81.13,5.4825,6.16216,4.663600000000001,5.16,44.57,78.0,75.29,82.68,85.8,1.73,53.771765821977205,20260227
603065.SH,宿迁联盛,化工原料,9.35,7.2929,9.33342,4.853875,6.13,12.11,9.01,8.69,9.55,9.91,1.69,46.95255826925956,20260227
002942.SZ,新农股份,农药化肥,22.73,2.0063,4.077679999999999,2.5259549999999997,5.52,16.39,21.9,21.14,23.21,24.09,1.72,46.74297409835849,20260227
301212.SZ,联盛化学,化工原料,32.29,3.4722,3.45934,1.9739600000000004,0.62,12.31,30.96,29.88,32.82,34.06,1.72,41.59087510165444,20260227
301202.SZ,朗威股份,机械基件,44.45,7.666,10.57878,6.7340800000000005,3.01,13.36,43.02,41.52,45.6,47.32,1.72,41.50536402418238,20260227
600883.SH,博闻科技,种植业,8.84,2.9699,4.57744,2.96467,4.0,5.24,8.78,8.47,9.31,9.66,1.71,40.2244075101473,20260227
300637.SZ,扬帆新材,化工原料,13.54,4.3299,5.4721400000000004,3.3831649999999995,1.12,11.62,13.03,12.58,13.81,14.33,1.73,40.09653902158362,20260227
002391.SZ,长青股份,农药化肥,6.7,2.6773,2.7704,2.175975,4.36,10.38,6.48,6.25,6.87,7.13,1.7,40.033989229320504,20260227
301519.SZ,舜禹股份,专用机械,15.55,4.1634,5.7328600000000005,3.86193,5.14,7.24,14.99,14.47,15.89,16.49,1.73,39.88957220245471,20260227
001258.SZ,立新能源,新型电力,8.03,2.0518,1.96512,1.48072,4.42,5.8,7.74,7.47,8.2,8.51,1.7,39.811250580144836,20260227
600798.SH,宁波海运,水运,3.97,2.4454,3.74418,3.2529449999999995,7.3,6.72,3.81,3.67,4.04,4.19,1.64,39.719778056488565,20260227
300504.SZ,天邑股份,通信设备,15.68,5.2522,3.8645000000000005,2.622055,2.48,9.65,15.2,14.67,16.11,16.72,1.72,39.49164559806449,20260227
300174.SZ,元力股份,化工原料,17.4,2.8599,2.8825,1.975995,3.57,9.99,16.67,16.09,17.67,18.34,1.72,39.23142588110854,20260227
002778.SZ,中晟高科,环境保护,23.17,2.3259,2.59662,2.2265800000000002,3.39,12.75,22.28,21.51,23.62,24.51,1.74,37.94991645271982,20260227
301418.SZ,协昌科技,电气设备,40.85,3.2213,4.35944,3.45183,3.16,11.13,39.9,38.51,42.29,43.89,1.72,37.75099007173048,20260227
300334.SZ,津膜科技,专用机械,8.09,3.7241,2.9318799999999996,2.2040800000000003,5.34,5.34,7.8,7.53,8.27,8.58,1.74,37.580681973598445,20260227
300219.SZ,鸿利智汇,元器件,8.02,4.851,4.9631799999999995,3.577935,3.75,6.65,7.76,7.49,8.23,8.54,1.74,37.19895870464084,20260227
301160.SZ,翔楼新材,机械基件,68.56,4.8213,4.97288,3.9216349999999998,-0.77,17.64,66.26,63.96,70.24,72.89,1.73,37.034496674963854,20260227
300019.SZ,硅宝科技,化工原料,23.11,3.7841,5.59148,3.890115,1.58,6.5,22.21,21.44,23.54,24.43,1.73,36.57537419207489,20260227
300727.SZ,润禾材料,化工原料,37.66,3.9543,3.7606200000000003,2.753465,0.61,10.18,36.14,34.88,38.31,39.75,1.72,36.36322795762348,20260227
