score_bucket,sample_count,avg_return,win_rate,spring_success_rate
0,171,-0.012605616495121668,0.4853801169590643,0.0
1,170,-0.018524092406268934,0.36470588235294116,0.0
2,171,0.041836547035979554,0.6140350877192983,0.0
3,170,0.036418567747344144,0.5941176470588235,0.0
4,171,0.02157781640383078,0.5263157894736842,0.0
5,170,0.06477982863627893,0.4411764705882353,0.0
6,170,-0.0006813533245533927,0.4764705882352941,0.0
7,171,-0.01045220030719371,0.4678362573099415,0.0
8,170,-0.00861108007010365,0.4823529411764706,0.0
9,171,0.04802599150590557,0.6432748538011696,0.0
